species,smiles,parent,parent 2,isotopologue,source,N,logN,final vectors 70,final vectors iso 70
CH3CCH,C#CC,Main,Main,n,Calcutt et al. (19),1.10E+16,16.04,"[0.3160141, 1.5642866, 1.9347484, -0.55081606, 2.7328758, -1.1517146, -2.5601838, 2.4184856, 2.5202901, 0.10289563, 2.589396, -1.3852551, 2.600799, 1.9883022, 2.802094, 0.73903906, -3.6054516, 1.2374897, 2.0280807, 0.41033983, -0.29822418, 0.2973127, 0.76800346, 2.509693, -3.9062204, -3.0888214, -0.6662866, 4.5524454, 5.1346307, -0.58361936, 2.2665205, -1.9138757, -0.9543618, -0.074843936, 0.2100456, 0.8853544, -2.7885318, 4.0503654, -2.2107399, 0.48327476, -0.1457022, -0.63096136, 0.63339347, 0.5693702, 1.665483, -1.5263395, 1.125804, -0.44704685, 0.23115484, 1.7242405, 0.5442821, -1.5864749, 1.5092858, -0.9812052, 2.8570786, 0.3807574, -3.7547584, -0.85095894, -5.0188184, 0.50177896, 1.3783954, 0.5532981, 4.564292, 6.769327, 0.09334275, -0.88367605, -2.518611, 2.5111086, -2.6932654, 0.5064864]","[0.3160141, 1.5642866, 1.9347484, -0.55081606, 2.7328758, -1.1517146, -2.5601838, 2.4184856, 2.5202901, 0.10289563, 2.589396, -1.3852551, 2.600799, 1.9883022, 2.802094, 0.73903906, -3.6054516, 1.2374897, 2.0280807, 0.41033983, -0.29822418, 0.2973127, 0.76800346, 2.509693, -3.9062204, -3.0888214, -0.6662866, 4.5524454, 5.1346307, -0.58361936, 2.2665205, -1.9138757, -0.9543618, -0.074843936, 0.2100456, 0.8853544, -2.7885318, 4.0503654, -2.2107399, 0.48327476, -0.1457022, -0.63096136, 0.63339347, 0.5693702, 1.665483, -1.5263395, 1.125804, -0.44704685, 0.23115484, 1.7242405, 0.5442821, -1.5864749, 1.5092858, -0.9812052, 2.8570786, 0.3807574, -3.7547584, -0.85095894, -5.0188184, 0.50177896, 1.3783954, 0.5532981, 4.564292, 6.769327, 0.09334275, -0.88367605, -2.518611, 2.5111086, -2.6932654, 0.5064864, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
CH3OH,CO,Main,Main,n,Jorgensen et al. (16/18),1.00E+19,19,"[-0.75515705, 0.20892425, -0.4343065, 0.046391934, 1.8297236, -0.25119233, -1.1185894, 0.04091254, 0.9794757, 0.43460375, 1.2329905, -0.70602244, 0.8645894, -0.030816376, 1.0764873, 0.54961455, -1.5474187, 0.2404416, 1.7026858, -0.16642955, 0.57219565, 0.46542752, 1.0116808, -0.09005384, -2.569351, -0.57624465, -0.7181511, 0.8330092, 0.9968586, -0.418005, 0.34902388, -1.1673391, -0.19274023, -0.830052, -0.4678942, -0.20677853, -0.3896419, 1.3690014, -0.86677337, 1.0137521, -0.17997357, -0.65291333, 0.5311924, 0.017674983, 0.9404755, -0.873057, 1.7521394, -0.48423818, 0.7306218, 0.8380633, -0.21308985, -0.45021522, -0.1997574, -0.2899097, 0.49836257, -0.4421324, -1.721333, 0.5261696, -0.10330561, 0.022938877, -0.7888783, 0.54364645, 0.48275387, 2.2125237, 0.03099209, -0.331052, -0.4416191, -0.17838998, 0.34249818, -0.13501118]","[-0.75515705, 0.20892425, -0.4343065, 0.046391934, 1.8297236, -0.25119233, -1.1185894, 0.04091254, 0.9794757, 0.43460375, 1.2329905, -0.70602244, 0.8645894, -0.030816376, 1.0764873, 0.54961455, -1.5474187, 0.2404416, 1.7026858, -0.16642955, 0.57219565, 0.46542752, 1.0116808, -0.09005384, -2.569351, -0.57624465, -0.7181511, 0.8330092, 0.9968586, -0.418005, 0.34902388, -1.1673391, -0.19274023, -0.830052, -0.4678942, -0.20677853, -0.3896419, 1.3690014, -0.86677337, 1.0137521, -0.17997357, -0.65291333, 0.5311924, 0.017674983, 0.9404755, -0.873057, 1.7521394, -0.48423818, 0.7306218, 0.8380633, -0.21308985, -0.45021522, -0.1997574, -0.2899097, 0.49836257, -0.4421324, -1.721333, 0.5261696, -0.10330561, 0.022938877, -0.7888783, 0.54364645, 0.48275387, 2.2125237, 0.03099209, -0.331052, -0.4416191, -0.17838998, 0.34249818, -0.13501118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
CD3OH,[2H]C([2H])([2H])O,CO,CO,y,Ilyushin et al. (21),3.70E+16,16.49136169,"[-6.1308694, 1.6116986, 1.6987658, 1.6670141, 3.804862, 1.1942112, -1.2445133, 4.912092, 2.230301, -1.3795242, 3.7106235, -1.4294543, 5.005559, -4.370595, -7.1370063, -2.205867, -3.3914428, 5.604821, 8.00794, -6.322295, 1.3609909, 1.7743801, 4.7443023, -5.163768, -3.792019, -3.228674, 3.1033108, 2.4748847, 2.688049, -1.0756469, 2.2806945, -1.2548755, -2.9000046, -4.8934784, -3.862908, -1.4003433, 1.096649, 5.060151, 1.137975, 2.9607964, -0.45923427, -1.0369887, 0.4843061, -1.9139948, 1.506144, 3.0038142, 1.9697064, -3.3923407, 3.8180335, 1.5476463, -2.0579004, -3.443134, -1.8986461, 2.5918276, -2.5760014, -0.83579063, -10.338056, -4.629985, -5.87905, -1.6290344, -1.2653521, 2.3959417, 5.124069, 9.05634, -0.71550876, -0.748431, -2.5805774, 2.982352, 0.38823396, -1.5268021]","[-0.75515705, 0.20892425, -0.4343065, 0.046391934, 1.8297236, -0.25119233, -1.1185894, 0.04091254, 0.9794757, 0.43460375, 1.2329905, -0.70602244, 0.8645894, -0.030816376, 1.0764873, 0.54961455, -1.5474187, 0.2404416, 1.7026858, -0.16642955, 0.57219565, 0.46542752, 1.0116808, -0.09005384, -2.569351, -0.57624465, -0.7181511, 0.8330092, 0.9968586, -0.418005, 0.34902388, -1.1673391, -0.19274023, -0.830052, -0.4678942, -0.20677853, -0.3896419, 1.3690014, -0.86677337, 1.0137521, -0.17997357, -0.65291333, 0.5311924, 0.017674983, 0.9404755, -0.873057, 1.7521394, -0.48423818, 0.7306218, 0.8380633, -0.21308985, -0.45021522, -0.1997574, -0.2899097, 0.49836257, -0.4421324, -1.721333, 0.5261696, -0.10330561, 0.022938877, -0.7888783, 0.54364645, 0.48275387, 2.2125237, 0.03099209, -0.331052, -0.4416191, -0.17838998, 0.34249818, -0.13501118, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 1, 0, 0]"
CH2DOH,[2H]CO,CO,CO,y,Jorgensen et al. (18),7.10E+17,17.85125835,"[-2.623577, 0.6965531, 0.4259166, 0.4413868, 2.7608213, 0.17892824, -0.977674, 1.840167, 1.5107054, -0.26331425, 2.258509, -0.88909966, 2.313367, -1.6539037, -1.6945925, -0.40105218, -2.1663039, 1.9986826, 4.172044, -2.189046, 0.8917522, 0.89333516, 2.3144546, -1.8623031, -2.8844817, -1.4580289, 0.591028, 1.4126027, 1.554529, -0.6570643, 1.0132585, -0.8927387, -1.2420073, -2.3600986, -1.6636084, -0.527596, 0.26097032, 2.765879, -0.19955972, 1.6225843, -0.26291123, -0.8290839, 0.54823154, -0.6625522, 0.9432335, 0.34269473, 1.9173139, -1.4969485, 1.8964164, 1.1067545, -0.9946098, -1.5666268, -0.82009315, 0.79478776, -0.4387485, -0.7399535, -4.9274125, -1.3095547, -2.1573758, -0.59377444, -1.0981045, 1.1672685, 2.0651565, 4.709325, -0.14155954, -0.49215803, -1.2030364, 0.9955056, 0.3890596, -0.61956096]","[-0.75515705, 0.20892425, -0.4343065, 0.046391934, 1.8297236, -0.25119233, -1.1185894, 0.04091254, 0.9794757, 0.43460375, 1.2329905, -0.70602244, 0.8645894, -0.030816376, 1.0764873, 0.54961455, -1.5474187, 0.2404416, 1.7026858, -0.16642955, 0.57219565, 0.46542752, 1.0116808, -0.09005384, -2.569351, -0.57624465, -0.7181511, 0.8330092, 0.9968586, -0.418005, 0.34902388, -1.1673391, -0.19274023, -0.830052, -0.4678942, -0.20677853, -0.3896419, 1.3690014, -0.86677337, 1.0137521, -0.17997357, -0.65291333, 0.5311924, 0.017674983, 0.9404755, -0.873057, 1.7521394, -0.48423818, 0.7306218, 0.8380633, -0.21308985, -0.45021522, -0.1997574, -0.2899097, 0.49836257, -0.4421324, -1.721333, 0.5261696, -0.10330561, 0.022938877, -0.7888783, 0.54364645, 0.48275387, 2.2125237, 0.03099209, -0.331052, -0.4416191, -0.17838998, 0.34249818, -0.13501118, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0]"
CH3OD,[2H]OC,CO,CO,y,Jorgensen et al. (18),1.80E+17,17.25527251,"[-3.9440084, 1.492928, 1.2824086, -0.37722185, 1.1640081, -0.44448858, -1.019178, 2.8397071, 1.0688506, -1.2510318, 1.9463009, -2.05052, 2.1644049, -2.392335, -1.7861742, -1.0940598, -0.8506978, 2.2595184, 3.0864017, -2.7167015, 1.6376064, 0.112988345, 1.8268012, -1.9266193, -2.5770185, -0.4565845, 0.23604241, 2.029879, 2.5148797, -1.6636789, 0.68574, -0.8859398, -1.7181771, -2.4268703, -1.2979827, 0.5267155, 0.09942219, 2.086381, 0.13149878, 1.3049624, 0.26027027, -0.6811758, -0.13473132, -0.5070904, 0.37140986, -0.15726134, 2.582613, -2.1166704, 0.90892375, 1.8560634, -0.95837593, -0.9230408, -1.2033182, 0.6182868, -0.3107596, -1.7858318, -5.920317, -1.935104, -1.6283069, 0.5240502, -1.8465601, 1.4254417, 3.3458703, 5.4180326, -0.013000771, 0.08021577, -0.61702114, 1.3290727, -0.2869115, -0.61328954]","[-0.75515705, 0.20892425, -0.4343065, 0.046391934, 1.8297236, -0.25119233, -1.1185894, 0.04091254, 0.9794757, 0.43460375, 1.2329905, -0.70602244, 0.8645894, -0.030816376, 1.0764873, 0.54961455, -1.5474187, 0.2404416, 1.7026858, -0.16642955, 0.57219565, 0.46542752, 1.0116808, -0.09005384, -2.569351, -0.57624465, -0.7181511, 0.8330092, 0.9968586, -0.418005, 0.34902388, -1.1673391, -0.19274023, -0.830052, -0.4678942, -0.20677853, -0.3896419, 1.3690014, -0.86677337, 1.0137521, -0.17997357, -0.65291333, 0.5311924, 0.017674983, 0.9404755, -0.873057, 1.7521394, -0.48423818, 0.7306218, 0.8380633, -0.21308985, -0.45021522, -0.1997574, -0.2899097, 0.49836257, -0.4421324, -1.721333, 0.5261696, -0.10330561, 0.022938877, -0.7888783, 0.54364645, 0.48275387, 2.2125237, 0.03099209, -0.331052, -0.4416191, -0.17838998, 0.34249818, -0.13501118, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0]"
CH3(18O)H,C[18OH],CO,CO,y,Jorgensen et al. (16),1.87E+16,16.27184161,"[-1.0865015, 0.40941408, -0.2871545, -0.29828113, 1.2781168, -0.379024, -0.5971239, 0.23024377, 0.69967616, -0.9162279, 0.3698652, -1.4660469, 0.46874136, -0.4347917, -0.0867608, -0.67513263, -0.28989333, 0.52217287, 0.28887856, -0.96199346, 0.65616304, -0.04165573, -0.24876712, -0.3177306, -0.79409534, -0.7463799, -0.579167, 0.19974431, 1.4011964, -1.0036758, 0.8262991, -0.26164952, -0.4915676, -0.61644655, 0.0083862, -0.1686674, -0.27999747, 1.029305, -0.71446353, 0.8062476, 0.0073168017, -0.5975652, 0.26308444, 0.045792937, -0.2445445, -0.25229764, 0.08333507, -0.1151699, -0.5029694, 0.108921014, -1.5718682, 0.5831277, -0.6162138, -0.44112444, -0.018395193, 0.23844828, -0.84623986, -0.8422154, -0.63245595, 0.098730415, -0.10706955, 0.3338103, 1.4945596, 1.183973, -0.7387183, 0.31119266, 0.1787342, 0.29831308, -0.42357552, -0.33446842]","[-0.75515705, 0.20892425, -0.4343065, 0.046391934, 1.8297236, -0.25119233, -1.1185894, 0.04091254, 0.9794757, 0.43460375, 1.2329905, -0.70602244, 0.8645894, -0.030816376, 1.0764873, 0.54961455, -1.5474187, 0.2404416, 1.7026858, -0.16642955, 0.57219565, 0.46542752, 1.0116808, -0.09005384, -2.569351, -0.57624465, -0.7181511, 0.8330092, 0.9968586, -0.418005, 0.34902388, -1.1673391, -0.19274023, -0.830052, -0.4678942, -0.20677853, -0.3896419, 1.3690014, -0.86677337, 1.0137521, -0.17997357, -0.65291333, 0.5311924, 0.017674983, 0.9404755, -0.873057, 1.7521394, -0.48423818, 0.7306218, 0.8380633, -0.21308985, -0.45021522, -0.1997574, -0.2899097, 0.49836257, -0.4421324, -1.721333, 0.5261696, -0.10330561, 0.022938877, -0.7888783, 0.54364645, 0.48275387, 2.2125237, 0.03099209, -0.331052, -0.4416191, -0.17838998, 0.34249818, -0.13501118, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
HCOOH,O=CO,Main,Main,n,Jorgensen et al. (18),5.60E+16,16.75,"[-4.2843523, 0.40725216, -1.0089545, -1.6089526, 3.2338028, 0.43782735, -3.8267374, 0.78093004, 2.0031202, 1.9232932, 1.1051503, -0.32246077, 0.16876641, 0.75989157, 3.8388114, 0.2760758, -2.8349466, 1.0534799, 2.5516224, -0.36971122, 0.85365367, 0.22205403, 3.1565895, -0.9365587, -5.0141444, -1.2909131, -1.9089787, 2.737829, 0.5299401, -0.87360454, -0.8703842, -3.0046997, -1.0071584, 0.25618187, -1.5156262, -0.26061124, -1.4375249, 2.866227, -0.13878502, 0.65111816, 0.602515, -4.329333, -0.38985777, -1.755611, 1.9177375, -2.128069, 3.6536617, -0.42652816, 0.61156654, 1.8080094, -0.403194, -1.1395011, 1.8495706, 0.7491504, 2.4278529, -0.1439759, -3.7773452, -1.3451544, 0.82997453, -0.6612383, -0.4873631, 1.0520095, 0.8499466, 2.5908961, -1.1197119, -0.3099097, -1.2647022, -1.234008, -1.0153925, -0.64138174]","[-4.2843523, 0.40725216, -1.0089545, -1.6089526, 3.2338028, 0.43782735, -3.8267374, 0.78093004, 2.0031202, 1.9232932, 1.1051503, -0.32246077, 0.16876641, 0.75989157, 3.8388114, 0.2760758, -2.8349466, 1.0534799, 2.5516224, -0.36971122, 0.85365367, 0.22205403, 3.1565895, -0.9365587, -5.0141444, -1.2909131, -1.9089787, 2.737829, 0.5299401, -0.87360454, -0.8703842, -3.0046997, -1.0071584, 0.25618187, -1.5156262, -0.26061124, -1.4375249, 2.866227, -0.13878502, 0.65111816, 0.602515, -4.329333, -0.38985777, -1.755611, 1.9177375, -2.128069, 3.6536617, -0.42652816, 0.61156654, 1.8080094, -0.403194, -1.1395011, 1.8495706, 0.7491504, 2.4278529, -0.1439759, -3.7773452, -1.3451544, 0.82997453, -0.6612383, -0.4873631, 1.0520095, 0.8499466, 2.5908961, -1.1197119, -0.3099097, -1.2647022, -1.234008, -1.0153925, -0.64138174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
H(13C)OOH,O=[13CH]O,O=CO,O=CO,y,Jorgensen et al. (18),8.30E+14,14.91907809,"[-4.2843523, 0.40725216, -1.0089545, -1.6089526, 3.2338028, 0.43782735, -3.8267374, 0.78093004, 2.0031202, 1.9232932, 1.1051503, -0.32246077, 0.16876641, 0.75989157, 3.8388114, 0.2760758, -2.8349466, 1.0534799, 2.5516224, -0.36971122, 0.85365367, 0.22205403, 3.1565895, -0.9365587, -5.0141444, -1.2909131, -1.9089787, 2.737829, 0.5299401, -0.87360454, -0.8703842, -3.0046997, -1.0071584, 0.25618187, -1.5156262, -0.26061124, -1.4375249, 2.866227, -0.13878502, 0.65111816, 0.602515, -4.329333, -0.38985777, -1.755611, 1.9177375, -2.128069, 3.6536617, -0.42652816, 0.61156654, 1.8080094, -0.403194, -1.1395011, 1.8495706, 0.7491504, 2.4278529, -0.1439759, -3.7773452, -1.3451544, 0.82997453, -0.6612383, -0.4873631, 1.0520095, 0.8499466, 2.5908961, -1.1197119, -0.3099097, -1.2647022, -1.234008, -1.0153925, -0.64138174]","[-4.2843523, 0.40725216, -1.0089545, -1.6089526, 3.2338028, 0.43782735, -3.8267374, 0.78093004, 2.0031202, 1.9232932, 1.1051503, -0.32246077, 0.16876641, 0.75989157, 3.8388114, 0.2760758, -2.8349466, 1.0534799, 2.5516224, -0.36971122, 0.85365367, 0.22205403, 3.1565895, -0.9365587, -5.0141444, -1.2909131, -1.9089787, 2.737829, 0.5299401, -0.87360454, -0.8703842, -3.0046997, -1.0071584, 0.25618187, -1.5156262, -0.26061124, -1.4375249, 2.866227, -0.13878502, 0.65111816, 0.602515, -4.329333, -0.38985777, -1.755611, 1.9177375, -2.128069, 3.6536617, -0.42652816, 0.61156654, 1.8080094, -0.403194, -1.1395011, 1.8495706, 0.7491504, 2.4278529, -0.1439759, -3.7773452, -1.3451544, 0.82997453, -0.6612383, -0.4873631, 1.0520095, 0.8499466, 2.5908961, -1.1197119, -0.3099097, -1.2647022, -1.234008, -1.0153925, -0.64138174, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 3, 0, 0, 0]"
DCOOH,[2H]C(=O)O,O=CO,O=CO,y,Jorgensen et al. (18),1.10E+15,15.04139269,"[-6.3371134, 1.2438756, -0.13896233, -1.6072834, 2.8267221, 1.0604738, -3.84936, 2.6577487, 2.2182758, 1.4097056, 1.6310315, -0.97089946, 1.3923671, 0.091359474, 1.6667385, -0.6730829, -3.2679224, 3.2921207, 3.0380487, -2.5881531, 0.6668427, -0.14718387, 4.261234, -2.8275962, -5.302568, -1.42032, -1.2040976, 3.3519528, 1.2970518, -1.9272858, -0.3903467, -2.6190398, -1.8969179, -0.33567724, -2.7753453, -0.29890722, -1.547433, 3.5878932, 0.47391295, 0.67730904, 1.4286994, -4.190976, -1.4045407, -3.1844556, 1.5064704, -1.7373717, 3.1154659, -0.4713753, 1.2421503, 2.1172905, -1.2860252, -1.9322894, 1.5588069, 2.4568074, 1.7748508, 0.42344928, -5.822615, -3.024013, -0.8033134, -0.03257405, -0.49828187, 0.4140487, 3.0301223, 3.977395, -1.944177, -0.09515664, -1.3539089, -0.2579475, -0.91051376, -1.0883265]","[-4.2843523, 0.40725216, -1.0089545, -1.6089526, 3.2338028, 0.43782735, -3.8267374, 0.78093004, 2.0031202, 1.9232932, 1.1051503, -0.32246077, 0.16876641, 0.75989157, 3.8388114, 0.2760758, -2.8349466, 1.0534799, 2.5516224, -0.36971122, 0.85365367, 0.22205403, 3.1565895, -0.9365587, -5.0141444, -1.2909131, -1.9089787, 2.737829, 0.5299401, -0.87360454, -0.8703842, -3.0046997, -1.0071584, 0.25618187, -1.5156262, -0.26061124, -1.4375249, 2.866227, -0.13878502, 0.65111816, 0.602515, -4.329333, -0.38985777, -1.755611, 1.9177375, -2.128069, 3.6536617, -0.42652816, 0.61156654, 1.8080094, -0.403194, -1.1395011, 1.8495706, 0.7491504, 2.4278529, -0.1439759, -3.7773452, -1.3451544, 0.82997453, -0.6612383, -0.4873631, 1.0520095, 0.8499466, 2.5908961, -1.1197119, -0.3099097, -1.2647022, -1.234008, -1.0153925, -0.64138174, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 2, 0, 1]"
HCOOD,[2H]OC=O,O=CO,O=CO,y,Jorgensen et al. (18),1.10E+15,15.04139269,"[-5.951703, 1.082119, -0.37574953, -1.4824421, 2.5814605, 0.69610304, -3.7077534, 2.8568873, 1.8979532, 0.6030969, 1.3718282, -1.6730691, 1.4895889, -0.56241083, 1.258091, -0.49627167, -2.7617154, 2.7331924, 3.665679, -2.3054848, 0.83276093, 0.27889246, 3.942143, -2.071298, -5.120152, -0.7801243, -0.97161186, 3.667333, 1.2797564, -1.7051215, -0.6135388, -2.894158, -2.610697, -0.955085, -1.869948, -0.3279742, -0.8454752, 3.1957586, 0.54693824, 0.6556854, 1.053329, -4.1185846, -0.9115995, -2.2179463, 1.1895401, -1.1238497, 3.9603028, -1.5041046, 1.5272317, 2.1489635, -1.4726423, -1.4064513, 0.9604461, 1.8262197, 1.298147, -0.61099344, -6.8827295, -3.35396, -0.087675095, -0.6685835, -1.0468918, 1.1221197, 2.8170743, 5.0848618, -1.3223195, -0.21849445, -1.1947609, -0.1863986, -0.70228994, -1.0772563]","[-4.2843523, 0.40725216, -1.0089545, -1.6089526, 3.2338028, 0.43782735, -3.8267374, 0.78093004, 2.0031202, 1.9232932, 1.1051503, -0.32246077, 0.16876641, 0.75989157, 3.8388114, 0.2760758, -2.8349466, 1.0534799, 2.5516224, -0.36971122, 0.85365367, 0.22205403, 3.1565895, -0.9365587, -5.0141444, -1.2909131, -1.9089787, 2.737829, 0.5299401, -0.87360454, -0.8703842, -3.0046997, -1.0071584, 0.25618187, -1.5156262, -0.26061124, -1.4375249, 2.866227, -0.13878502, 0.65111816, 0.602515, -4.329333, -0.38985777, -1.755611, 1.9177375, -2.128069, 3.6536617, -0.42652816, 0.61156654, 1.8080094, -0.403194, -1.1395011, 1.8495706, 0.7491504, 2.4278529, -0.1439759, -3.7773452, -1.3451544, 0.82997453, -0.6612383, -0.4873631, 1.0520095, 0.8499466, 2.5908961, -1.1197119, -0.3099097, -1.2647022, -1.234008, -1.0153925, -0.64138174, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 1, 0]"
CH3SH,CS,Main,Main,n,Drozdovskaya (18),4.80E+15,15.68,"[0.12197143, -0.8422973, 0.98373085, -0.3190415, 2.0193026, 0.13271087, 0.3706596, -0.26867807, 1.813674, 0.6940913, 0.25266734, 0.9103632, 0.80781734, -0.49014238, 0.3051638, 0.0779831, -0.95351934, -0.4035931, 1.8341382, -0.4300164, -0.06929227, 0.3870359, 0.52006596, 0.15383503, -0.84774315, -0.80891114, -0.102948904, -0.32509777, 1.1285473, -0.33360648, 1.5846939, -1.1335045, 0.9050797, 0.10075316, -0.24008018, -0.52648807, 0.2531964, 1.1487241, -0.3266168, 1.3534532, -1.779571, -1.5367223, -0.7557629, -1.3295292, 0.9486589, -1.5194931, 0.84401345, -1.0961343, 0.7020768, 0.47679487, -0.48056683, -0.5477466, -0.3491007, 0.6435635, 0.41557574, 0.36590034, -1.2927313, -0.0011483133, 0.8760336, 0.2296283, -1.3812537, 0.6999774, 0.88832784, 1.8668387, 0.85982513, -0.68679583, -0.08239105, 0.3894412, 0.81389195, 0.19890732]","[0.12197143, -0.8422973, 0.98373085, -0.3190415, 2.0193026, 0.13271087, 0.3706596, -0.26867807, 1.813674, 0.6940913, 0.25266734, 0.9103632, 0.80781734, -0.49014238, 0.3051638, 0.0779831, -0.95351934, -0.4035931, 1.8341382, -0.4300164, -0.06929227, 0.3870359, 0.52006596, 0.15383503, -0.84774315, -0.80891114, -0.102948904, -0.32509777, 1.1285473, -0.33360648, 1.5846939, -1.1335045, 0.9050797, 0.10075316, -0.24008018, -0.52648807, 0.2531964, 1.1487241, -0.3266168, 1.3534532, -1.779571, -1.5367223, -0.7557629, -1.3295292, 0.9486589, -1.5194931, 0.84401345, -1.0961343, 0.7020768, 0.47679487, -0.48056683, -0.5477466, -0.3491007, 0.6435635, 0.41557574, 0.36590034, -1.2927313, -0.0011483133, 0.8760336, 0.2296283, -1.3812537, 0.6999774, 0.88832784, 1.8668387, 0.85982513, -0.68679583, -0.08239105, 0.3894412, 0.81389195, 0.19890732, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
NO,[N]=O,Main,Main,n,Ligertink et al. (2017b),2.00E+16,16.3,"[-0.6009863, 0.76512045, 0.5291988, -0.43983278, 1.1915954, 0.10996631, -1.3841308, -0.11203441, 1.6617815, 0.95995176, 0.79112846, 0.17410079, 0.51562035, 0.4468214, 2.0138335, -0.44497308, -0.5895537, 0.7424158, 1.7209895, 0.18296918, -0.41170114, 0.44691077, 0.6299817, 0.06621562, -1.1869295, -1.0666629, -1.1796595, 0.9144087, 0.7890576, -0.77461815, 0.36934125, -1.2976309, -0.13500689, -0.33282584, -0.66608614, 1.0222187, -1.6321704, 2.0706408, -0.399969, 0.16984405, -0.59795696, -0.82045287, 0.84992206, -0.121917695, -0.06712192, -0.6789145, 0.68404937, -1.3698553, -0.41218546, 1.4832416, -0.6024103, -0.6468375, 0.742288, 0.112485975, 0.53664, 0.16586597, -1.0489476, -0.9937345, -0.8159342, -0.48183927, 0.020904332, -0.2995681, 1.3392484, 1.2801285, 0.3164485, -0.044912122, -1.5125996, -0.42045325, -1.0826421, 0.020706266]","[-0.6009863, 0.76512045, 0.5291988, -0.43983278, 1.1915954, 0.10996631, -1.3841308, -0.11203441, 1.6617815, 0.95995176, 0.79112846, 0.17410079, 0.51562035, 0.4468214, 2.0138335, -0.44497308, -0.5895537, 0.7424158, 1.7209895, 0.18296918, -0.41170114, 0.44691077, 0.6299817, 0.06621562, -1.1869295, -1.0666629, -1.1796595, 0.9144087, 0.7890576, -0.77461815, 0.36934125, -1.2976309, -0.13500689, -0.33282584, -0.66608614, 1.0222187, -1.6321704, 2.0706408, -0.399969, 0.16984405, -0.59795696, -0.82045287, 0.84992206, -0.121917695, -0.06712192, -0.6789145, 0.68404937, -1.3698553, -0.41218546, 1.4832416, -0.6024103, -0.6468375, 0.742288, 0.112485975, 0.53664, 0.16586597, -1.0489476, -0.9937345, -0.8159342, -0.48183927, 0.020904332, -0.2995681, 1.3392484, 1.2801285, 0.3164485, -0.044912122, -1.5125996, -0.42045325, -1.0826421, 0.020706266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
