smiles,source,N,logN,vectors
C=[18O],Persson et al. (18),2.30E+15,15.36172784,"[-1.6243298, 0.5783266, 0.66634357, -0.80951804, 1.2336766, 0.04522714, -1.3704237, 0.65831757, 0.8637982, 0.8302376, 1.5561874, 0.47468022, 0.26374525, 1.0463517, 1.6722184, -0.2750622, -1.3783267, 0.57835776, 1.3227814, -1.0935292, -0.91954523, 0.30792823, 0.0789959, -0.11520736, -1.0836115, -0.13671115, 0.12970538, 0.92959964, 0.2561408, -1.1818817, 0.017839521, -1.2815992, 0.3902031, -0.07923129, 0.3769004, -0.47300857, -0.9720571, 0.81084776, -1.1456565, 0.07319528, 0.021271246, -1.1904125, 0.9303399, -0.27082145, 0.3071788, -0.5148699, 2.61521, -0.6670203, 0.12543286, 0.19106174, -1.0088304, -0.515579, -0.4870627, 1.174911, 0.7122726, 0.5744631, -1.5689534, -0.19809279, 0.10656625, -0.7693717, -0.8505471, -0.13937199, 0.890092, 1.3497483, 0.2180482, -0.76177025, 0.9376425, -0.6016351, -0.760741, -0.5866861, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
[2H]C=O,Persson et al. (18),1.30E+17,17.11394335,"[-1.6243298, 0.5783266, 0.66634357, -0.80951804, 1.2336766, 0.04522714, -1.3704237, 0.65831757, 0.8637982, 0.8302376, 1.5561874, 0.47468022, 0.26374525, 1.0463517, 1.6722184, -0.2750622, -1.3783267, 0.57835776, 1.3227814, -1.0935292, -0.91954523, 0.30792823, 0.0789959, -0.11520736, -1.0836115, -0.13671115, 0.12970538, 0.92959964, 0.2561408, -1.1818817, 0.017839521, -1.2815992, 0.3902031, -0.07923129, 0.3769004, -0.47300857, -0.9720571, 0.81084776, -1.1456565, 0.07319528, 0.021271246, -1.1904125, 0.9303399, -0.27082145, 0.3071788, -0.5148699, 2.61521, -0.6670203, 0.12543286, 0.19106174, -1.0088304, -0.515579, -0.4870627, 1.174911, 0.7122726, 0.5744631, -1.5689534, -0.19809279, 0.10656625, -0.7693717, -0.8505471, -0.13937199, 0.890092, 1.3497483, 0.2180482, -0.76177025, 0.9376425, -0.6016351, -0.760741, -0.5866861, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 1]"
[2H]C([2H])=O,Persson et al. (18),1.60E+16,16.20411998,"[-1.6243298, 0.5783266, 0.66634357, -0.80951804, 1.2336766, 0.04522714, -1.3704237, 0.65831757, 0.8637982, 0.8302376, 1.5561874, 0.47468022, 0.26374525, 1.0463517, 1.6722184, -0.2750622, -1.3783267, 0.57835776, 1.3227814, -1.0935292, -0.91954523, 0.30792823, 0.0789959, -0.11520736, -1.0836115, -0.13671115, 0.12970538, 0.92959964, 0.2561408, -1.1818817, 0.017839521, -1.2815992, 0.3902031, -0.07923129, 0.3769004, -0.47300857, -0.9720571, 0.81084776, -1.1456565, 0.07319528, 0.021271246, -1.1904125, 0.9303399, -0.27082145, 0.3071788, -0.5148699, 2.61521, -0.6670203, 0.12543286, 0.19106174, -1.0088304, -0.515579, -0.4870627, 1.174911, 0.7122726, 0.5744631, -1.5689534, -0.19809279, 0.10656625, -0.7693717, -0.8505471, -0.13937199, 0.890092, 1.3497483, 0.2180482, -0.76177025, 0.9376425, -0.6016351, -0.760741, -0.5866861, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 1, 0, 2]"
[2H][13C]([2H])=O,Persson et al. (18),2.20E+14,14.34242268,"[-1.6243298, 0.5783266, 0.66634357, -0.80951804, 1.2336766, 0.04522714, -1.3704237, 0.65831757, 0.8637982, 0.8302376, 1.5561874, 0.47468022, 0.26374525, 1.0463517, 1.6722184, -0.2750622, -1.3783267, 0.57835776, 1.3227814, -1.0935292, -0.91954523, 0.30792823, 0.0789959, -0.11520736, -1.0836115, -0.13671115, 0.12970538, 0.92959964, 0.2561408, -1.1818817, 0.017839521, -1.2815992, 0.3902031, -0.07923129, 0.3769004, -0.47300857, -0.9720571, 0.81084776, -1.1456565, 0.07319528, 0.021271246, -1.1904125, 0.9303399, -0.27082145, 0.3071788, -0.5148699, 2.61521, -0.6670203, 0.12543286, 0.19106174, -1.0088304, -0.515579, -0.4870627, 1.174911, 0.7122726, 0.5744631, -1.5689534, -0.19809279, 0.10656625, -0.7693717, -0.8505471, -0.13937199, 0.890092, 1.3497483, 0.2180482, -0.76177025, 0.9376425, -0.6016351, -0.760741, -0.5866861, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 2, 1, 0, 2]"
CCO,Jorgensen et al. (18),2.30E+17,17.36,"[-1.3597348, 1.4009056, -1.3490344, -0.30872804, 3.96212, 0.34184968, -3.134173, 0.111702286, 1.4343486, 2.696896, 2.1388326, -1.5498546, 1.4222018, 0.80646324, 1.971213, 1.0862609, -3.7154076, -0.26439643, 2.9038057, -0.9563616, 1.371105, -0.10958931, 2.3162754, 0.8257591, -4.746022, -1.837398, -1.7946994, 1.4751153, 3.0271978, -0.058464527, 1.3814309, -2.6542668, -0.6309733, -0.97990996, 0.17388344, 0.21822907, -2.2246006, 1.9873189, -1.5439304, 1.2409858, -0.27407157, -0.27916333, 0.16510917, -0.367702, 1.9291272, -2.0858808, 3.5739198, -1.1233846, 0.74157804, 1.049739, -1.5345025, -0.4627235, 0.40122676, 0.09314364, 1.4940476, -1.189565, -1.8592218, -0.040105104, -0.41718102, 0.11527308, -1.1297174, 1.5648867, 1.4639426, 5.3168864, 0.8857627, -1.4699423, 0.109804764, 0.20042711, 0.54391164, 1.6698812, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
[2H]C(C)O,Jorgensen et al. (18),2.30E+16,16.36172784,"[-1.3597348, 1.4009056, -1.3490344, -0.30872804, 3.96212, 0.34184968, -3.134173, 0.111702286, 1.4343486, 2.696896, 2.1388326, -1.5498546, 1.4222018, 0.80646324, 1.971213, 1.0862609, -3.7154076, -0.26439643, 2.9038057, -0.9563616, 1.371105, -0.10958931, 2.3162754, 0.8257591, -4.746022, -1.837398, -1.7946994, 1.4751153, 3.0271978, -0.058464527, 1.3814309, -2.6542668, -0.6309733, -0.97990996, 0.17388344, 0.21822907, -2.2246006, 1.9873189, -1.5439304, 1.2409858, -0.27407157, -0.27916333, 0.16510917, -0.367702, 1.9291272, -2.0858808, 3.5739198, -1.1233846, 0.74157804, 1.049739, -1.5345025, -0.4627235, 0.40122676, 0.09314364, 1.4940476, -1.189565, -1.8592218, -0.040105104, -0.41718102, 0.11527308, -1.1297174, 1.5648867, 1.4639426, 5.3168864, 0.8857627, -1.4699423, 0.109804764, 0.20042711, 0.54391164, 1.6698812, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 1, 0]"
COC,Jorgensen et al. (18),2.40E+17,17.38,"[-0.11140624, -0.6955965, 0.30167863, 1.5268666, 7.0503325, -1.5115238, -0.10851757, -1.3743263, 1.5222296, 0.20190491, 2.227227, -0.52956694, 1.4989834, 0.5424, 2.1139305, 0.8516607, -4.689125, 0.79056525, 2.9706163, -0.6330864, -1.4882905, 1.3104032, 2.4307077, -0.8969041, -3.9177501, -1.3251125, -1.7376583, 1.1976318, 2.425518, -1.9622381, 0.37989005, -4.0318484, 0.20477134, -3.1057286, -0.51489013, -1.1449044, -2.3738885, 1.9271114, -1.896233, 1.2919365, 1.4578826, -2.5368202, 0.22525181, 0.5772, 2.00478, -1.1828753, 2.9090602, -0.7884773, 1.296206, 0.50871813, -0.61626637, -0.8063316, -0.7609782, 0.18608674, 0.82794863, 0.6707607, -1.8558397, -0.6969065, -1.0709474, -1.6756257, -1.9704032, 0.16244107, 0.28239352, 4.4941306, -1.6794902, -0.3247026, -0.44178805, 2.4325724, 0.65841216, 1.7100431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
CO[13CH3],Jorgensen et al. (18),1.40E+16,16.14612804,"[-0.11140624, -0.6955965, 0.30167863, 1.5268666, 7.0503325, -1.5115238, -0.10851757, -1.3743263, 1.5222296, 0.20190491, 2.227227, -0.52956694, 1.4989834, 0.5424, 2.1139305, 0.8516607, -4.689125, 0.79056525, 2.9706163, -0.6330864, -1.4882905, 1.3104032, 2.4307077, -0.8969041, -3.9177501, -1.3251125, -1.7376583, 1.1976318, 2.425518, -1.9622381, 0.37989005, -4.0318484, 0.20477134, -3.1057286, -0.51489013, -1.1449044, -2.3738885, 1.9271114, -1.896233, 1.2919365, 1.4578826, -2.5368202, 0.22525181, 0.5772, 2.00478, -1.1828753, 2.9090602, -0.7884773, 1.296206, 0.50871813, -0.61626637, -0.8063316, -0.7609782, 0.18608674, 0.82794863, 0.6707607, -1.8558397, -0.6969065, -1.0709474, -1.6756257, -1.9704032, 0.16244107, 0.28239352, 4.4941306, -1.6794902, -0.3247026, -0.44178805, 2.4325724, 0.65841216, 1.7100431, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0]"
COC=O,Jorgensen et al. (18),2.60E+17,17.41,"[-2.483458, -0.17716494, 0.01729405, -0.13202032, 8.313417, 0.52347, -3.1029403, -0.5306893, 2.1979368, 0.8403894, 2.1539683, 0.29182228, 0.8771353, 0.9987432, 4.462011, 0.58552897, -5.773816, 2.5174649, 2.9483716, -0.9590158, -1.8826643, 1.0571195, 3.8170607, -1.0054448, -5.905962, -1.7437379, -2.6278346, 2.3310435, 1.6305933, -1.9857663, 0.36012712, -4.2454906, -0.6701268, -1.7828847, -1.5834112, -0.41669086, -3.1749744, 3.1059449, -1.2087092, 0.3998202, 2.655658, -5.649436, -0.6904061, -1.6355641, 2.1675634, -2.29652, 3.975111, 0.19630851, 0.60195106, 1.0548016, -0.6388284, -1.2867954, 1.76298, 1.0028211, 2.707837, 1.4021297, -2.9079783, -2.034791, -0.34639674, -2.3022342, -0.690871, 0.0003771186, 0.5002512, 4.2267175, -2.7615328, 0.032425255, -0.3764795, 1.686742, -0.99778295, 1.4452963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
[2H]C(=O)OC,Jorgensen et al. (18),1.50E+16,16.17609126,"[-2.483458, -0.17716494, 0.01729405, -0.13202032, 8.313417, 0.52347, -3.1029403, -0.5306893, 2.1979368, 0.8403894, 2.1539683, 0.29182228, 0.8771353, 0.9987432, 4.462011, 0.58552897, -5.773816, 2.5174649, 2.9483716, -0.9590158, -1.8826643, 1.0571195, 3.8170607, -1.0054448, -5.905962, -1.7437379, -2.6278346, 2.3310435, 1.6305933, -1.9857663, 0.36012712, -4.2454906, -0.6701268, -1.7828847, -1.5834112, -0.41669086, -3.1749744, 3.1059449, -1.2087092, 0.3998202, 2.655658, -5.649436, -0.6904061, -1.6355641, 2.1675634, -2.29652, 3.975111, 0.19630851, 0.60195106, 1.0548016, -0.6388284, -1.2867954, 1.76298, 1.0028211, 2.707837, 1.4021297, -2.9079783, -2.034791, -0.34639674, -2.3022342, -0.690871, 0.0003771186, 0.5002512, 4.2267175, -2.7615328, 0.032425255, -0.3764795, 1.686742, -0.99778295, 1.4452963, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 2, 0, 1]"
